,Origin,Throughput
0,12TH,624507
1,16TH,617043
2,19TH,626575
3,24TH,631954
4,ASHB,263809
5,BALB,542392
6,BAYF,274167
7,CAST,134623
8,CIVC,1174966
9,COLM,199446
10,COLS,303346
11,CONC,279982
12,DALY,442869
13,DBRK,578758
14,DELN,392210
15,DUBL,362276
16,EMBR,1800675
17,FRMT,407755
18,FTVL,389146
19,GLEN,371993
20,HAYW,231032
21,LAFY,160286
22,LAKE,339340
23,MCAR,427810
24,MLBR,316429
25,MONT,1899670
26,NBRK,218793
27,NCON,125421
28,OAKL,76325
29,ORIN,135273
30,PHIL,338112
31,PITT,294381
32,PLZA,233473
33,POWL,1585022
34,RICH,202146
35,ROCK,263972
36,SANL,279558
37,SBRN,171615
38,SFIA,334680
39,SHAY,139471
40,SSAN,160504
41,UCTY,218597
42,WCRK,314186
43,WDUB,156760
44,WOAK,365359
45,WSPR,20
